,x,y,integ_watts
0,-9.0,-9.0,530.0
1,-7.9411764705882355,-9.0,1225.0
2,-6.882352941176471,-9.0,1986.0
3,-5.823529411764706,-9.0,2610.0
4,-4.764705882352941,-9.0,2767.0
5,-3.7058823529411766,-9.0,2908.0
6,-2.6470588235294112,-9.0,3038.0
7,-1.5882352941176467,-9.0,2808.0
8,-0.5294117647058822,-9.0,2929.0
9,0.5294117647058822,-9.0,2936.0
10,1.5882352941176467,-9.0,2840.0
11,2.6470588235294112,-9.0,2977.0
12,3.7058823529411775,-9.0,2740.0
13,4.764705882352942,-9.0,2813.0
14,5.8235294117647065,-9.0,2503.0
15,6.882352941176471,-9.0,2051.0
16,7.9411764705882355,-9.0,1245.0
17,9.0,-9.0,531.0
18,-9.0,-7.9411764705882355,953.0
19,-7.9411764705882355,-7.9411764705882355,3129.0
20,-6.882352941176471,-7.9411764705882355,6414.0
21,-5.823529411764706,-7.9411764705882355,7928.0
22,-4.764705882352941,-7.9411764705882355,8340.0
23,-3.7058823529411766,-7.9411764705882355,8783.0
24,-2.6470588235294112,-7.9411764705882355,8868.0
25,-1.5882352941176467,-7.9411764705882355,8895.0
26,-0.5294117647058822,-7.9411764705882355,8935.0
27,0.5294117647058822,-7.9411764705882355,8847.0
28,1.5882352941176467,-7.9411764705882355,8610.0
29,2.6470588235294112,-7.9411764705882355,8912.0
30,3.7058823529411775,-7.9411764705882355,8616.0
31,4.764705882352942,-7.9411764705882355,8294.0
32,5.8235294117647065,-7.9411764705882355,7972.0
33,6.882352941176471,-7.9411764705882355,6550.0
34,7.9411764705882355,-7.9411764705882355,3145.0
35,9.0,-7.9411764705882355,884.0
36,-9.0,-6.882352941176471,1281.0
37,-7.9411764705882355,-6.882352941176471,4765.0
38,-6.882352941176471,-6.882352941176471,9990.0
39,-5.823529411764706,-6.882352941176471,12494.0
40,-4.764705882352941,-6.882352941176471,13201.0
41,-3.7058823529411766,-6.882352941176471,13572.0
42,-2.6470588235294112,-6.882352941176471,13588.0
43,-1.5882352941176467,-6.882352941176471,13720.0
44,-0.5294117647058822,-6.882352941176471,13578.0
45,0.5294117647058822,-6.882352941176471,13534.0
46,1.5882352941176467,-6.882352941176471,13571.0
47,2.6470588235294112,-6.882352941176471,13419.0
48,3.7058823529411775,-6.882352941176471,13507.0
49,4.764705882352942,-6.882352941176471,13119.0
50,5.8235294117647065,-6.882352941176471,12395.0
51,6.882352941176471,-6.882352941176471,9862.0
52,7.9411764705882355,-6.882352941176471,4760.0
53,9.0,-6.882352941176471,1257.0
54,-9.0,-5.823529411764706,1479.0
55,-7.9411764705882355,-5.823529411764706,5336.0
56,-6.882352941176471,-5.823529411764706,10866.0
57,-5.823529411764706,-5.823529411764706,13920.0
58,-4.764705882352941,-5.823529411764706,14475.0
59,-3.7058823529411766,-5.823529411764706,14813.0
60,-2.6470588235294112,-5.823529411764706,15050.0
61,-1.5882352941176467,-5.823529411764706,15482.0
62,-0.5294117647058822,-5.823529411764706,15198.0
63,0.5294117647058822,-5.823529411764706,15358.0
64,1.5882352941176467,-5.823529411764706,15225.0
65,2.6470588235294112,-5.823529411764706,15078.0
66,3.7058823529411775,-5.823529411764706,14897.0
67,4.764705882352942,-5.823529411764706,14686.0
68,5.8235294117647065,-5.823529411764706,14044.0
69,6.882352941176471,-5.823529411764706,10955.0
70,7.9411764705882355,-5.823529411764706,5341.0
71,9.0,-5.823529411764706,1449.0
72,-9.0,-4.764705882352941,1566.0
73,-7.9411764705882355,-4.764705882352941,5532.0
74,-6.882352941176471,-4.764705882352941,11304.0
75,-5.823529411764706,-4.764705882352941,14157.0
76,-4.764705882352941,-4.764705882352941,14758.0
77,-3.7058823529411766,-4.764705882352941,15279.0
78,-2.6470588235294112,-4.764705882352941,15759.0
79,-1.5882352941176467,-4.764705882352941,15800.0
80,-0.5294117647058822,-4.764705882352941,15923.0
81,0.5294117647058822,-4.764705882352941,15782.0
82,1.5882352941176467,-4.764705882352941,15861.0
83,2.6470588235294112,-4.764705882352941,15349.0
84,3.7058823529411775,-4.764705882352941,15358.0
85,4.764705882352942,-4.764705882352941,14903.0
86,5.8235294117647065,-4.764705882352941,14303.0
87,6.882352941176471,-4.764705882352941,11172.0
88,7.9411764705882355,-4.764705882352941,5701.0
89,9.0,-4.764705882352941,1522.0
90,-9.0,-3.7058823529411766,1625.0
91,-7.9411764705882355,-3.7058823529411766,5772.0
92,-6.882352941176471,-3.7058823529411766,11576.0
93,-5.823529411764706,-3.7058823529411766,14270.0
94,-4.764705882352941,-3.7058823529411766,15471.0
95,-3.7058823529411766,-3.7058823529411766,15657.0
96,-2.6470588235294112,-3.7058823529411766,15960.0
97,-1.5882352941176467,-3.7058823529411766,16104.0
98,-0.5294117647058822,-3.7058823529411766,16241.0
99,0.5294117647058822,-3.7058823529411766,16100.0
100,1.5882352941176467,-3.7058823529411766,15841.0
101,2.6470588235294112,-3.7058823529411766,15615.0
102,3.7058823529411775,-3.7058823529411766,15803.0
103,4.764705882352942,-3.7058823529411766,15177.0
104,5.8235294117647065,-3.7058823529411766,14571.0
105,6.882352941176471,-3.7058823529411766,11381.0
106,7.9411764705882355,-3.7058823529411766,5598.0
107,9.0,-3.7058823529411766,1584.0
108,-9.0,-2.6470588235294112,1641.0
109,-7.9411764705882355,-2.6470588235294112,5656.0
110,-6.882352941176471,-2.6470588235294112,11566.0
111,-5.823529411764706,-2.6470588235294112,14495.0
112,-4.764705882352941,-2.6470588235294112,15323.0
113,-3.7058823529411766,-2.6470588235294112,15869.0
114,-2.6470588235294112,-2.6470588235294112,15792.0
115,-1.5882352941176467,-2.6470588235294112,16126.0
116,-0.5294117647058822,-2.6470588235294112,16155.0
117,0.5294117647058822,-2.6470588235294112,16377.0
118,1.5882352941176467,-2.6470588235294112,16193.0
119,2.6470588235294112,-2.6470588235294112,16290.0
120,3.7058823529411775,-2.6470588235294112,15921.0
121,4.764705882352942,-2.6470588235294112,15368.0
122,5.8235294117647065,-2.6470588235294112,14578.0
123,6.882352941176471,-2.6470588235294112,11786.0
124,7.9411764705882355,-2.6470588235294112,5642.0
125,9.0,-2.6470588235294112,1720.0
126,-9.0,-1.5882352941176467,1667.0
127,-7.9411764705882355,-1.5882352941176467,5672.0
128,-6.882352941176471,-1.5882352941176467,11597.0
129,-5.823529411764706,-1.5882352941176467,14643.0
130,-4.764705882352941,-1.5882352941176467,15583.0
131,-3.7058823529411766,-1.5882352941176467,15876.0
132,-2.6470588235294112,-1.5882352941176467,16176.0
133,-1.5882352941176467,-1.5882352941176467,16199.0
134,-0.5294117647058822,-1.5882352941176467,16157.0
135,0.5294117647058822,-1.5882352941176467,16659.0
136,1.5882352941176467,-1.5882352941176467,16353.0
137,2.6470588235294112,-1.5882352941176467,16188.0
138,3.7058823529411775,-1.5882352941176467,15932.0
139,4.764705882352942,-1.5882352941176467,15411.0
140,5.8235294117647065,-1.5882352941176467,14515.0
141,6.882352941176471,-1.5882352941176467,11848.0
142,7.9411764705882355,-1.5882352941176467,5809.0
143,9.0,-1.5882352941176467,1671.0
144,-9.0,-0.5294117647058822,1691.0
145,-7.9411764705882355,-0.5294117647058822,5733.0
146,-6.882352941176471,-0.5294117647058822,11640.0
147,-5.823529411764706,-0.5294117647058822,14582.0
148,-4.764705882352941,-0.5294117647058822,15315.0
149,-3.7058823529411766,-0.5294117647058822,15853.0
150,-2.6470588235294112,-0.5294117647058822,15902.0
151,-1.5882352941176467,-0.5294117647058822,16272.0
152,-0.5294117647058822,-0.5294117647058822,16279.0
153,0.5294117647058822,-0.5294117647058822,16572.0
154,1.5882352941176467,-0.5294117647058822,16374.0
155,2.6470588235294112,-0.5294117647058822,16087.0
156,3.7058823529411775,-0.5294117647058822,15552.0
157,4.764705882352942,-0.5294117647058822,15522.0
158,5.8235294117647065,-0.5294117647058822,14540.0
159,6.882352941176471,-0.5294117647058822,11569.0
160,7.9411764705882355,-0.5294117647058822,5815.0
161,9.0,-0.5294117647058822,1554.0
162,-9.0,0.5294117647058822,1626.0
163,-7.9411764705882355,0.5294117647058822,5771.0
164,-6.882352941176471,0.5294117647058822,11656.0
165,-5.823529411764706,0.5294117647058822,14554.0
166,-4.764705882352941,0.5294117647058822,15449.0
167,-3.7058823529411766,0.5294117647058822,15528.0
168,-2.6470588235294112,0.5294117647058822,16134.0
169,-1.5882352941176467,0.5294117647058822,16234.0
170,-0.5294117647058822,0.5294117647058822,16241.0
171,0.5294117647058822,0.5294117647058822,16491.0
172,1.5882352941176467,0.5294117647058822,16090.0
173,2.6470588235294112,0.5294117647058822,16123.0
174,3.7058823529411775,0.5294117647058822,15854.0
175,4.764705882352942,0.5294117647058822,15528.0
176,5.8235294117647065,0.5294117647058822,14671.0
177,6.882352941176471,0.5294117647058822,11773.0
178,7.9411764705882355,0.5294117647058822,5840.0
179,9.0,0.5294117647058822,1654.0
180,-9.0,1.5882352941176467,1560.0
181,-7.9411764705882355,1.5882352941176467,5824.0
182,-6.882352941176471,1.5882352941176467,11556.0
183,-5.823529411764706,1.5882352941176467,14494.0
184,-4.764705882352941,1.5882352941176467,15368.0
185,-3.7058823529411766,1.5882352941176467,15711.0
186,-2.6470588235294112,1.5882352941176467,15881.0
187,-1.5882352941176467,1.5882352941176467,16287.0
188,-0.5294117647058822,1.5882352941176467,16074.0
189,0.5294117647058822,1.5882352941176467,16234.0
190,1.5882352941176467,1.5882352941176467,16128.0
191,2.6470588235294112,1.5882352941176467,16077.0
192,3.7058823529411775,1.5882352941176467,15885.0
193,4.764705882352942,1.5882352941176467,15313.0
194,5.8235294117647065,1.5882352941176467,14426.0
195,6.882352941176471,1.5882352941176467,11611.0
196,7.9411764705882355,1.5882352941176467,5633.0
197,9.0,1.5882352941176467,1629.0
198,-9.0,2.6470588235294112,1599.0
199,-7.9411764705882355,2.6470588235294112,5625.0
200,-6.882352941176471,2.6470588235294112,11620.0
201,-5.823529411764706,2.6470588235294112,14567.0
202,-4.764705882352941,2.6470588235294112,15112.0
203,-3.7058823529411766,2.6470588235294112,15511.0
204,-2.6470588235294112,2.6470588235294112,15794.0
205,-1.5882352941176467,2.6470588235294112,16072.0
206,-0.5294117647058822,2.6470588235294112,15918.0
207,0.5294117647058822,2.6470588235294112,16240.0
208,1.5882352941176467,2.6470588235294112,16382.0
209,2.6470588235294112,2.6470588235294112,15712.0
210,3.7058823529411775,2.6470588235294112,15401.0
211,4.764705882352942,2.6470588235294112,15385.0
212,5.8235294117647065,2.6470588235294112,14420.0
213,6.882352941176471,2.6470588235294112,11611.0
214,7.9411764705882355,2.6470588235294112,5720.0
215,9.0,2.6470588235294112,1559.0
216,-9.0,3.7058823529411775,1546.0
217,-7.9411764705882355,3.7058823529411775,5623.0
218,-6.882352941176471,3.7058823529411775,11428.0
219,-5.823529411764706,3.7058823529411775,14240.0
220,-4.764705882352941,3.7058823529411775,14974.0
221,-3.7058823529411766,3.7058823529411775,15193.0
222,-2.6470588235294112,3.7058823529411775,15623.0
223,-1.5882352941176467,3.7058823529411775,15628.0
224,-0.5294117647058822,3.7058823529411775,15860.0
225,0.5294117647058822,3.7058823529411775,15701.0
226,1.5882352941176467,3.7058823529411775,15958.0
227,2.6470588235294112,3.7058823529411775,15599.0
228,3.7058823529411775,3.7058823529411775,15344.0
229,4.764705882352942,3.7058823529411775,14892.0
230,5.8235294117647065,3.7058823529411775,14306.0
231,6.882352941176471,3.7058823529411775,11480.0
232,7.9411764705882355,3.7058823529411775,5528.0
233,9.0,3.7058823529411775,1530.0
234,-9.0,4.764705882352942,1523.0
