,iteration,light_height,light_width,inter_0,inter_1,inter_2,inter_3,metric
0,1,1.762641513894,10.62564333978932,58.564024079175596,12.734766412185701,44.0,76.0,0.21745033085446694
1,1,6.702189609408379,11.565191440284252,25.56943169064381,5.4804566166998825,19.0,33.0,0.21433627008242243
2,2,9.772303953766823,7.774728402495384,20.154882154882156,5.010496979392449,14.0,27.0,0.24859966636811848
3,2,3.616587020456791,7.774728402495384,56.769921436588106,14.567212167171382,38.0,76.0,0.25660088650013246
4,2,3.616587020456791,8.27494940906763,54.64126109580655,12.840798293227406,37.0,71.0,0.23500186554466027
5,2,6.702189609408379,11.565191440284252,25.66442199775533,5.535826160891026,19.0,33.0,0.2157004027355536
6,2,6.7021896194083785,11.565191440284252,25.551678400163247,5.48288629531621,19.0,33.0,0.21458027959843062
7,2,6.702189609408379,11.565191450284253,25.57351290684624,5.530515506739902,19.0,33.0,0.2162595153385962
8,2,15.0,5.0,10.969288848076728,3.3682553286699433,7.0,15.0,0.3070623242144369
9,2,14.99999999,5.0,10.972961942658912,3.36537757757573,7.0,15.0,0.3066972796554008
10,2,15.0,5.00000001,11.004693398632792,3.357059486126936,7.0,15.0,0.30505706651891024
11,2,10.964906592915845,8.192548329011352,16.96724823997551,4.430378184831374,11.0,23.0,0.2611135360413498
12,2,10.964906602915846,8.192548329011352,16.902662993572086,4.4269990546787215,11.0,23.0,0.2619113364777056
13,2,10.964906592915845,8.192548339011353,16.859300071421284,4.380147573528797,11.0,23.0,0.2598060153727093
14,2,8.875698641093926,9.845520561038592,20.882563003775125,5.038590289417902,14.0,27.0,0.2412821782703125
15,2,8.875698651093927,9.845520561038592,20.91235588205285,5.027236435987105,15.0,27.0,0.2403955089680508
16,2,8.875698641093926,9.845520571038593,20.91776349352107,4.955590118099771,15.0,27.0,0.23690822011801993
17,2,7.852641460483971,10.654958946456185,23.150290786654423,5.2894739827229005,17.0,30.0,0.22848412710963237
18,2,7.852641470483971,10.654958946456185,23.152229364350575,5.279600707737124,16.0,30.0,0.22803854543124766
19,2,7.852641460483971,10.654958956456186,23.037955310682584,5.252834884273372,16.0,30.0,0.22800785978769822
20,2,7.0773302043435455,11.268381835480074,24.82848688909295,5.416672543243406,18.0,32.0,0.2181636185660161
21,2,7.0773302143435455,11.268381835480074,24.73043566982961,5.442615189406482,18.0,32.0,0.2200776105229035
