,light_height,light_width,inter_0,inter_1,inter_2,inter_3,metric
26,15.0,8.333333333333332,10.334659728599123,3.234852484092102,6.0,15.0,0.31301006216395194
27,15.0,7.82051282051282,10.449341903887358,3.2804979803079,6.0,15.0,0.3139430224871378
28,15.0,8.076923076923077,10.404652586470768,3.323357399047166,6.0,15.0,0.31941070318566406
29,15.0,7.564102564102564,10.535251504948475,3.303479267127929,6.0,15.0,0.3135643478066246
30,15.0,7.3076923076923075,10.57341087644118,3.3289446296308847,6.0,15.0,0.31484113012653
31,15.0,6.794871794871795,10.664932149780634,3.3088115035387515,7.0,15.0,0.3102515287550901
32,15.0,6.538461538461538,10.767778798081828,3.328577331652973,7.0,15.0,0.3091238586964589
33,15.0,5.769230769230769,10.888174676053463,3.396154872208325,7.0,15.0,0.31191223260566736
34,15.0,7.051282051282051,10.586470768288951,3.2891309509343274,7.0,15.0,0.3106919220696943
35,15.0,6.0256410256410255,10.800632588511377,3.3539070634623958,7.0,15.0,0.31052876171622984
36,15.0,6.282051282051282,10.774002652790532,3.3639611557318605,7.0,15.0,0.3122294716402891
37,15.0,5.512820512820513,10.898479746964595,3.3804443607215404,7.0,15.0,0.3101757712274549
38,15.0,5.256410256410256,10.931537598204265,3.3554372988058097,7.0,15.0,0.30695016768336514
39,15.0,5.0,10.967146209570451,3.353526546773785,7.0,15.0,0.3057793233254553
40,14.64102564102564,15.0,8.799102132435467,3.0003134227115598,5.0,13.0,0.34097949740255096
41,14.64102564102564,14.487179487179485,8.937047240077543,3.010612087097648,5.0,13.0,0.3368687673034529
42,14.64102564102564,14.23076923076923,9.067238036935006,3.0263389919978003,5.0,13.0,0.3337663552749071
43,14.64102564102564,14.743589743589743,8.891235588205285,2.9927991861087695,5.0,13.0,0.33660104452511447
44,14.64102564102564,13.974358974358974,9.133863891439649,3.0495076731683257,5.0,13.0,0.33386830693047176
45,14.64102564102564,13.717948717948717,9.195286195286196,3.047965733897109,5.0,13.0,0.33147045879437614
46,14.64102564102564,13.205128205128204,9.362309968370575,3.0873822438619287,6.0,13.0,0.32976714660081474
47,14.64102564102564,12.948717948717949,9.471686562595654,3.0944785789954463,6.0,14.0,0.32670829619887937
48,14.64102564102564,12.692307692307692,9.47097234976023,3.0682471478850464,6.0,14.0,0.323963267400176
49,14.64102564102564,13.46153846153846,9.290378532802775,3.050932853400063,6.0,13.0,0.32839704460132907
50,14.64102564102564,12.435897435897434,9.617794102642588,3.130861106319553,6.0,14.0,0.3255279820826396
51,14.64102564102564,12.179487179487179,9.627282930313234,3.1379119869812198,6.0,14.0,0.32593952101490015
52,14.64102564102564,11.666666666666666,9.844913784307725,3.154302525313098,6.0,14.0,0.3203992025141846
53,14.64102564102564,11.923076923076923,9.75094378124681,3.1404404897641958,6.0,14.0,0.32206528518849087
54,14.64102564102564,11.410256410256409,9.930211202938475,3.1817101867644944,6.0,14.0,0.3204071012933729
55,14.64102564102564,11.153846153846153,10.003571064177125,3.215214745214777,6.0,14.0,0.32140669812688083
56,14.64102564102564,10.897435897435898,10.039485766758494,3.236829545151131,6.0,14.0,0.3224098943263132
57,14.64102564102564,10.64102564102564,10.155800428527701,3.218421696273374,6.0,14.0,0.3169047795812144
58,14.64102564102564,10.384615384615383,10.204775022956841,3.3007902781690976,6.0,14.0,0.3234554677338385
59,14.64102564102564,10.128205128205128,10.34149576573819,3.26570536245125,6.0,15.0,0.31578655896864255
60,14.64102564102564,9.871794871794872,10.339149066421793,3.2704610638513545,6.0,15.0,0.31631820402635963
61,14.64102564102564,9.358974358974358,10.486378940924395,3.316585283683485,6.0,15.0,0.31627555158626774
62,14.64102564102564,9.615384615384615,10.38914396490154,3.2461479124572574,6.0,15.0,0.312455763768793
63,14.64102564102564,8.846153846153847,10.567391082542597,3.3457945557159245,6.0,15.0,0.316615002660704
64,14.64102564102564,8.333333333333332,10.771757983879196,3.3411665324502047,7.0,15.0,0.31017838847201445
65,14.64102564102564,9.102564102564102,10.544128150188756,3.3065524200817737,6.0,15.0,0.3135918278859861
66,14.64102564102564,8.58974358974359,10.597694112845629,3.297739374146009,7.0,15.0,0.31117518009401385
67,14.64102564102564,8.076923076923077,10.843281297826753,3.3557750837867806,7.0,15.0,0.3094796668660949
68,14.64102564102564,7.3076923076923075,10.982144679114375,3.394178011676159,7.0,15.0,0.3090633123902601
69,14.64102564102564,7.564102564102564,10.949903071115193,3.3793034953755665,7.0,15.0,0.3086149232032792
70,14.64102564102564,7.82051282051282,10.847056422814,3.358729966951601,7.0,15.0,0.3096443713418301
71,14.64102564102564,7.051282051282051,11.07346189164371,3.384382700650814,7.0,15.0,0.30563004900976337
72,14.64102564102564,6.794871794871795,11.103152739516377,3.4126874045129343,7.0,16.0,0.30736201550818093
73,14.64102564102564,6.538461538461538,11.172431384552597,3.3898874164588872,7.0,16.0,0.3034153712633999
74,14.64102564102564,6.282051282051282,11.179981634527088,3.436905051747947,7.0,16.0,0.3074159836840669
75,14.64102564102564,6.0256410256410255,11.252729313335374,3.4795156017264413,7.0,16.0,0.30921525834651864
76,14.64102564102564,5.769230769230769,11.330272421181512,3.4334209719638067,7.0,16.0,0.3030307519830818
77,14.64102564102564,5.512820512820513,11.37465564738292,3.497521451940793,7.0,16.0,0.3074837217375897
78,14.64102564102564,5.256410256410256,11.40506070809101,3.468015398155633,7.0,16.0,0.30407689068198857
79,14.282051282051283,15.0,9.141414141414142,3.0335336314660144,5.0,13.0,0.3318451154863375
80,14.64102564102564,5.0,11.462095704519946,3.4752784500673344,7.0,16.0,0.3031974727533376
81,14.282051282051283,13.974358974358974,9.48566472808897,3.117503532001738,6.0,14.0,0.32865419782023075
82,14.282051282051283,14.743589743589743,9.184062850729518,3.0642867260095685,5.0,13.0,0.3336526301936362
83,14.282051282051283,14.487179487179485,9.251709009284767,3.0422665169334744,5.0,13.0,0.32883292307187106
84,14.282051282051283,14.23076923076923,9.342312008978675,3.0520188766677085,6.0,13.0,0.32668774857171173
85,14.282051282051283,13.717948717948717,9.55188246097337,3.131506474457775,6.0,14.0,0.3278418141400228
86,14.282051282051283,13.46153846153846,9.672074278134884,3.1265856579885467,6.0,14.0,0.32325906192187165
87,14.282051282051283,13.205128205128204,9.73778185899398,3.1446133207776072,6.0,14.0,0.32292911941472474
88,14.282051282051283,12.948717948717949,9.82409958167534,3.175426443251552,6.0,14.0,0.3232282426345311
89,14.282051282051283,12.692307692307692,9.879910213243546,3.179454859380014,6.0,14.0,0.3218100965247748
90,14.282051282051283,12.435897435897434,10.00265279053158,3.183243724709366,6.0,14.0,0.3182399500783028
91,14.282051282051283,11.923076923076923,10.120497908376697,3.231481771315406,6.0,14.0,0.31930067083366725
92,14.282051282051283,11.666666666666666,10.247729823487399,3.202076155209636,6.0,14.0,0.31246687904189296
93,14.282051282051283,10.897435897435898,10.469952045709622,3.2864378117045137,6.0,15.0,0.31389234614987854
94,14.282051282051283,12.179487179487179,10.060912151821242,3.200994569280664,6.0,14.0,0.3181614669700913
95,14.282051282051283,10.128205128205128,10.684215896337108,3.3584248187891856,7.0,15.0,0.31433516987807797
96,14.282051282051283,10.64102564102564,10.469135802469136,3.269216747643359,6.0,15.0,0.31227188273480194
97,14.282051282051283,11.153846153846153,10.38047138047138,3.2736658808406034,6.0,15.0,0.31536774784614313
98,14.282051282051283,9.871794871794872,10.782675237220692,3.329031479622125,7.0,15.0,0.3087389174191808
99,14.282051282051283,9.615384615384615,10.820528517498214,3.318474836965783,7.0,15.0,0.30668324856769924
100,14.282051282051283,11.410256410256409,10.271094786246302,3.1906835153405884,6.0,14.0,0.3106468766711346
101,14.282051282051283,10.384615384615383,10.596061626364657,3.297508868240795,7.0,15.0,0.31120136750017363
102,14.282051282051283,9.358974358974358,10.872768084889296,3.3389047684435575,7.0,15.0,0.30708875075555825
103,14.282051282051283,9.102564102564102,10.95541271298847,3.3917669116462092,7.0,15.0,0.30959736529368836
104,14.282051282051283,8.846153846153847,11.049994898479747,3.3967265867188146,7.0,16.0,0.3073962131137395
105,14.282051282051283,8.58974358974359,11.05315784103663,3.4293383726005255,7.0,16.0,0.310258699090368
106,14.282051282051283,8.333333333333332,11.253035404550555,3.418359599048163,7.0,16.0,0.3037722246626746
107,14.282051282051283,8.076923076923077,11.277420671360066,3.4329274144751434,7.0,16.0,0.30440714366480487
108,14.282051282051283,7.564102564102564,11.38169574533211,3.444504816211831,7.0,16.0,0.30263546779701084
109,14.282051282051283,7.82051282051282,11.311600857055403,3.4171341103719954,7.0,16.0,0.302091114560555
110,14.282051282051283,7.051282051282051,11.546576879910214,3.447878670313625,7.0,16.0,0.29860613289749605
