,iteration,light_height,light_width,mirror_offset,inter_0,inter_1,inter_2,inter_3,metric
0,1,7.834497254196406,5.495363036740647,8.572819834075625,97.02785430058157,10.204987046234253,84.0,110.0,0.10517584996387049
1,2,1.718907740078586,11.881685479895145,5.809068155171501,65.75410672380369,15.214889003320584,49.0,88.0,0.23139070335530285
2,3,3.412163686513815,10.908008636308388,4.559022492036711,70.92388531782471,8.55376782657357,60.0,82.0,0.1206048961960044
3,4,14.614172414597043,7.464868913251934,4.672381199129146,78.76900316294255,8.802860926416932,68.0,90.0,0.11175539327579431
4,5,10.383755969012709,7.115712965715957,6.998371190012715,88.8784817875727,9.45009970482208,77.0,101.0,0.10632607032384554
5,6,8.651029547270879,13.659583027528353,6.009181434173421,51.876951331496784,7.327902400206964,43.0,61.0,0.14125545569131917
6,7,12.151626630533904,12.376866595581504,2.5713897409624797,50.437608407305376,7.139007048941682,41.0,60.0,0.14154134730757117
7,8,11.07427738819544,10.148090255683648,0.2907017219677375,57.57208448117539,7.601097837099267,48.0,67.0,0.13202749050339896
8,9,1.5367992887069852,7.7521005922646635,4.641854130080401,126.8488929701051,22.75834287105677,94.0,154.0,0.17941301920877073
9,10,11.123523143364809,13.393479912248731,0.3977384091602876,49.33221099887766,7.00151076870899,40.0,58.0,0.14192574439585282
10,11,7.775039802329698,13.841343875292297,3.827451420178746,52.67595143352719,7.390894814972776,43.0,62.0,0.14030871040458548
11,12,4.126436399207829,8.869966989469596,0.9187527225700636,110.18845015814713,11.019581371841763,96.0,124.0,0.10000668269701582
12,13,14.44569972670116,9.714107367399784,5.452574759434503,78.55963677175798,8.890744711613287,67.0,90.0,0.11317191724605187
13,14,14.127105891901742,8.586718308606251,1.5589348990414984,79.54820936639119,8.878457326412446,68.0,91.0,0.11161102678652576
14,15,6.698825746540024,12.399025522627767,1.685172941789053,58.399040914192426,7.709356340488714,49.0,68.0,0.13201169436697285
15,16,7.867057658698869,9.89111115533467,2.5450009437484393,95.14569941842669,9.80638991983906,83.0,108.0,0.10306708532051502
16,17,12.929091499010609,6.80373280880723,3.2354596305677545,82.6226915620855,9.098283840349595,71.0,94.0,0.11011846344309462
17,18,3.9806428182327855,13.083837409798647,2.056594804768153,59.60085705540251,8.127181036805641,49.0,70.0,0.13636013705727332
18,19,12.321465035199196,14.184473826364872,1.5332529545580054,46.34129170492807,6.868088055054924,38.0,55.0,0.14820665981402828
19,20,2.9420310535126424,6.234629035834195,5.328093778347976,118.67084991327415,21.637113799773548,91.0,148.0,0.18232880118062833
20,21,11.163322559407945,14.929081713968337,3.6073631338080165,46.31996735027038,6.767862068845317,38.0,55.0,0.14611111483881067
21,22,4.921268630878298,6.644307834997258,7.209409509091032,108.07652280379553,11.931301021969253,93.0,124.0,0.11039678842767357
22,23,11.98694565971837,8.60668619933412,2.029957151864404,84.49066421793694,9.194923450529092,73.0,96.0,0.10882768570515104
23,24,1.5086077801704076,13.494751695788224,5.2260973568265685,56.52157943067034,23.05053534012655,37.0,89.0,0.4078183159831982
24,25,2.473977929253571,10.772830930545627,4.1639295853679235,73.84562799714315,9.026118362201345,62.0,85.0,0.122229556535839
25,26,14.657130515092915,8.26540112847061,0.9010226656251573,78.45974900520355,8.876922449045388,67.0,90.0,0.11313982725660593
26,27,3.424445386205905,6.1447973329005325,3.462481732846819,115.89154167942047,18.615149593512825,92.0,141.0,0.16062561015027402
