,iteration,light_height,light_width,mirror_offset,inter_0,inter_1,inter_2,inter_3,metric
0,1,10.42238812752215,5.127231566620745,6.844762698993384,89.27895112743597,9.57861988726767,77.0,102.0,0.10728866957224033
1,2,3.960314898519595,6.30103488303784,6.1282604152619795,112.88337924701561,14.943118017742082,94.0,132.0,0.13237660067779328
2,3,8.869653776280817,11.27251096910647,8.941159394919534,58.239465360677485,7.746249720742117,48.0,68.0,0.13300688240816652
3,4,8.294483641721962,12.586478549153178,7.454262039343815,55.325476992143656,7.496336066540387,46.0,65.0,0.13549519089740308
4,5,12.413758204318192,13.061354510956892,1.9431060654652923,48.48995000510152,7.035810423180681,39.0,58.0,0.14509832289867197
5,6,9.07822136598083,12.44079494841774,4.150061767522425,54.601061116212634,7.483288520248096,45.0,64.0,0.13705390274963156
6,7,6.540187855181619,8.53141972939812,0.9775718335596116,100.36261605958576,10.224533926956802,88.0,114.0,0.10187592081982447
7,8,12.897114432532442,11.286128715576037,7.182255688642956,51.99122538516478,7.284076760015912,43.0,62.0,0.14010204041265695
8,9,14.76505126745769,13.184460626372704,6.092781045143832,45.42444648505255,6.738277032886028,37.0,54.0,0.14834032232188757
9,10,9.493650058791461,8.83272055592999,5.522561364611251,90.70360167329865,9.557946840585677,79.0,103.0,0.10537560432288047
10,11,6.497370653999351,12.769400145866271,8.673527395186147,57.533414957657385,7.641180850594188,48.0,68.0,0.13281292021719612
11,12,10.389948726035446,14.03891566471853,6.378184844788819,48.9537802265075,7.083941888135659,40.0,58.0,0.14470673879235674
12,13,8.55748969514059,7.810113561104859,1.4164537935794135,93.87725742271196,9.886847534783561,81.0,107.0,0.10531674876551742
13,14,14.274300864766563,5.439040893341005,2.870995890367859,79.66146311600858,8.877027983262334,68.0,91.0,0.11143440800647846
14,15,1.1571696185758416,13.812228907017097,6.287284618586835,54.543822058973575,36.46460089594745,29.0,102.0,0.6685376917026715
15,16,7.9684438333288625,7.527765379815215,6.920793596749711,95.78696051423324,9.867850287389297,83.0,108.0,0.10301872232309749
16,17,8.701340134815615,12.238406473993535,5.553264889259375,55.700846852362005,7.52187493159756,46.0,65.0,0.13504058477844477
17,18,7.860363889380805,9.349720602354754,3.0285119205888,95.5588205285175,9.85095716165936,83.0,108.0,0.1030878898167182
18,19,11.61452018789662,8.695095182145687,9.107552831252976,85.28772574227119,9.266159363883261,73.0,97.0,0.10864587234843655
19,20,6.4454124979486105,10.40962405618571,8.664943206416266,65.95775941230487,8.251743298368323,55.0,77.0,0.1251064828746882
20,21,11.40627338893172,14.3512677962078,6.314012570182246,47.04744413835323,6.9309340642459425,38.0,56.0,0.14731797212754055
21,22,9.347084454209483,10.112176014896217,9.308411773852406,60.853994490358126,7.82418313056491,51.0,71.0,0.12857304103191772
22,23,4.980438421941853,11.81066392870896,7.210144136522934,63.55137230894807,8.101831138287922,53.0,74.0,0.12748475515055369
23,24,2.520884114642995,8.988876663198878,3.479133798814291,118.37016630956025,14.485584686885725,101.0,137.0,0.1223753006226518
24,25,7.560085819158088,12.83802935006047,8.506443487085754,55.74114886236099,7.372784597804335,46.0,65.0,0.13226825690316515
25,26,12.421947895996116,11.593156795648063,8.316417695387038,51.91623303744516,7.250233363168403,43.0,61.0,0.13965253137566994
26,27,8.311034565049702,5.326313030005557,2.6782060481020316,95.52055912661973,9.968628003113638,83.0,108.0,0.10436107257181637
