,iteration,light_height,light_width,mirror_offset,inter_0,inter_1,inter_2,inter_3,metric
0,1,6.08253637749964,12.302132862361297,9.594362113031673,59.7717579838792,7.876044734906741,50.0,70.0,0.13176866467656778
1,2,14.768613102600593,6.867297607997276,0.963719784950555,78.54137332925211,8.894737935087413,67.0,90.0,0.11324907571707354
2,3,6.507099139259482,7.705034390160016,4.618112584492313,100.94500561167227,10.198666105429517,88.0,114.0,0.10103190389292767
3,4,1.9089860669712448,6.841464458784678,9.972888848315534,124.98734822977248,26.00315182480862,89.0,157.0,0.20804627182749177
4,5,2.996340127774029,14.664144246945357,2.776411080343554,54.24262830323436,9.314079083081275,43.0,66.0,0.1717114265004356
5,6,12.540821311564173,6.368210776501134,4.639533919533992,83.46250382614019,9.04271439445267,72.0,95.0,0.10834463357688677
6,7,10.804033532476613,10.773127788023416,9.719635255659917,56.39342924191409,7.4850934190432685,47.0,66.0,0.13272988572718356
7,8,13.260034129006105,8.293755853063697,3.5928238354149244,81.42271196816651,9.1300711160099,70.0,93.0,0.1121317491804921
8,9,6.384608439262446,11.163224457381165,0.1276216356868109,63.384654627078866,8.083155290772323,53.0,74.0,0.12752542927510216
9,10,1.2683052571327789,8.144580155193053,3.5604531649486186,128.45617794102643,31.356267825236042,90.0,173.0,0.24410089361082768
10,11,5.361745772006839,11.110785760208962,8.662544600278128,65.7431894704622,8.124670151119913,55.0,76.0,0.12358192866152701
11,12,4.899163237282856,9.746456775242741,6.928605431966339,106.07366595245384,10.648250924373755,92.0,120.0,0.1003854333567268
12,13,8.198304976354953,6.105121656509997,0.7529691920331282,95.56535047444139,9.899878299760992,83.0,108.0,0.1035927587835162
13,14,9.990867246073016,9.284701692702392,6.813493028348173,89.31802877257422,9.443864857254477,77.0,102.0,0.10573301926871775
14,15,6.679799577204244,11.620887744928668,6.1229718947712035,61.05183144577084,7.895990476701271,51.0,71.0,0.12933257348249852
15,16,2.5361590719329072,12.728424064666203,3.8304472676081804,61.65758596061627,9.734464853680183,50.0,74.0,0.15787943530416623
16,17,13.823785189846612,6.673558523466022,2.207726755862035,80.4583205795327,8.866737918642917,69.0,92.0,0.11020287093711068
17,18,11.64882779809867,6.235157691892962,9.420176455428576,85.72880318334863,9.415404816497196,74.0,98.0,0.10982778794147424
18,19,10.294361152360755,13.49720533105161,5.541640270172059,50.133455769819406,7.142217318378391,41.0,59.0,0.1424640932628076
19,20,3.8514602159778804,12.693577910062526,9.484989119462345,61.21263136414652,8.16347161275644,51.0,72.0,0.13336253369329834
20,21,9.336274242498606,13.014869554907447,9.101544848370693,52.715029078665445,7.303910953348116,43.0,62.0,0.1385546224862867
21,22,6.875346596184091,12.013038671810774,3.3472507082320426,59.33292521171309,7.808091686810016,49.0,69.0,0.1315979560918159
22,23,12.206783784445014,5.578868894935022,6.385409334376197,84.4497500255076,9.456096641115183,72.0,97.0,0.11197305661957577
23,24,13.523066086016787,8.708918484602908,0.8211699246281124,80.73829201101928,9.008525245006297,69.0,92.0,0.11157686174209382
24,25,8.834719833979024,5.454095063092628,5.051031444492295,93.64248546066727,9.83134623250609,81.0,106.0,0.10498809577876442
25,26,9.046799252112942,8.797865479846223,0.14854459817029128,92.06744209774513,9.632691106995944,80.0,104.0,0.10462646607222145
26,27,1.7147885508712855,10.39954860690904,2.498484431447915,78.58636873788389,13.573461877742693,63.0,97.0,0.1727203088237283
