,iteration,light_height,light_width,inter_0,inter_1,inter_2,inter_3,metric
0,1,14.02606218867004,7.620453694835305,11.712070196918681,3.441665724983281,7.0,16.0,0.2938563095266237
1,2,7.633811712265015,10.91529905796051,23.487705336190185,5.2472270140432755,17.0,30.0,0.22340313533984416
2,3,3.4777119159698486,7.4200281500816345,60.04458728701153,16.733644163501026,38.0,82.0,0.2786869711255513
3,4,11.182886600494385,14.122315645217896,12.87031935516784,3.6681575272849005,8.0,18.0,0.2850090526939426
4,5,8.14582359790802,5.137306340038776,28.3601673298643,7.12057887667735,19.0,38.0,0.2510767582523788
5,6,2.194492667913437,13.436316847801208,37.94704621977349,9.219525184459403,27.0,51.0,0.2429576502756961
6,7,4.600136637687683,9.898278415203094,40.01050913172125,7.9765619161379755,30.0,50.0,0.199361669952207
7,8,12.739395022392273,11.606252193450928,12.100295888174676,3.5751356124881872,8.0,17.0,0.2954585280829438
8,9,11.871455430984497,6.499498784542084,15.632282420161207,4.1608897306837145,11.0,21.0,0.26617288626498636
9,10,5.468967020511627,14.456936120986938,23.879502091623305,5.058808245045215,17.0,30.0,0.2118473084419878
10,11,1.3120034486055374,8.457889556884766,88.95327007448219,26.837219740522546,55.0,126.0,0.3017002041414695
11,12,9.027421712875366,10.507579445838928,19.800326497296194,4.715194781327213,14.0,26.0,0.2381372237458352
12,13,10.314087510108948,9.021856486797333,17.88358330782573,4.559105971110302,12.0,24.0,0.2549324647435321
13,14,4.345679670572281,11.974833011627197,34.41199877563514,6.42829385100847,26.0,43.0,0.18680384981182552
14,15,6.752185642719269,5.940419286489487,35.062442607897154,9.131490708047885,23.0,47.0,0.26043509889385713
15,16,14.908520102500916,12.984737753868103,9.166615651464136,3.0863985812831407,5.0,13.0,0.33669990088328466
16,17,14.431622505187988,5.704781338572502,11.602897663503724,3.4892590696087766,7.0,16.0,0.3007230754593354
17,18,6.408576309680939,12.751654386520386,24.34884195490256,5.234587760771683,18.0,31.0,0.21498302754877902
18,19,4.00205010175705,9.254813492298126,46.78145087235996,9.70982874118299,34.0,59.0,0.20755723818133825
19,20,9.83717155456543,12.210654616355896,16.4349556167738,4.150775133800397,11.0,22.0,0.2525577330774197
20,21,9.367425322532654,8.226988911628723,20.99153147637996,5.089027802072039,15.0,28.0,0.2424324212741839
21,22,1.792131520807743,10.269701480865479,61.730129578614424,12.573105041483942,47.0,79.0,0.2036785784723142
22,23,5.949061453342438,6.737503111362457,39.01214161820222,10.083821512453211,26.0,53.0,0.2584790553448703
23,24,12.211427330970764,14.687653183937073,11.270074482195694,3.403847263136068,7.0,16.0,0.30202526775785005
24,25,13.106730699539185,9.667454063892365,12.376288133863891,3.623915975781099,8.0,17.0,0.2928112158172345
25,26,5.052933216094971,11.368297934532166,32.784715845321905,6.444458301128426,25.0,41.0,0.19656898450892002
26,27,2.647257223725319,5.3750817477703094,80.74931129476585,39.02458165639853,34.0,138.0,0.48328067485236986
