,grid_type,number_lights,height,width,diffuser_height,mean,std,min,1,5,10,90,95,99,max
40,ogrid,4,3,12.5,0.05,3.8690949903071115,3.1964079304825335,0.0,0.0,0.0,1.0,8.0,10.0,15.0,25.0
41,ogrid,4,3,12.5,0.33,3.986429956126926,3.349260924190415,0.0,0.0,0.0,1.0,8.0,11.0,16.0,27.0
42,ogrid,4,3,12.5,0.66,4.071421283542496,3.446384197160457,0.0,0.0,0.0,1.0,8.0,11.0,18.0,28.0
43,ogrid,4,3,12.5,0.95,4.13396592184471,3.4851427594184687,0.0,0.0,0.0,1.0,8.0,11.0,17.0,31.0
44,ogrid,4,3,15.0,0.05,2.121212121212121,1.948107529536832,0.0,0.0,0.0,0.0,5.0,6.0,9.0,16.0
45,ogrid,4,3,15.0,0.33,2.169166411590654,1.9888353330530084,0.0,0.0,0.0,0.0,5.0,6.0,9.0,19.0
46,ogrid,4,3,15.0,0.66,2.2479338842975207,2.063612400449155,0.0,0.0,0.0,0.0,5.0,6.0,9.0,17.0
47,ogrid,4,3,15.0,0.95,2.3034384246505457,2.0909718949502443,0.0,0.0,0.0,0.0,5.0,6.0,10.0,18.0
48,ogrid,4,5,7.5,0.05,8.08213447607387,3.212833949048854,0.0,2.0,3.0,4.0,12.0,14.0,16.0,22.0
49,ogrid,4,5,7.5,0.33,8.138863381287624,3.2452394546874554,0.0,2.0,3.0,4.0,12.0,14.0,17.0,24.0
50,ogrid,4,5,7.5,0.66,8.341903887358432,3.2347730626752913,0.0,2.0,3.0,4.0,13.0,14.0,16.0,22.0
51,ogrid,4,5,7.5,0.95,8.465258647076828,3.29398911756475,0.0,2.0,3.0,4.0,13.0,14.0,17.0,25.0
52,ogrid,4,5,10.0,0.05,5.819814304662789,2.729998489389625,0.0,1.0,2.0,3.0,10.0,11.0,13.0,19.0
53,ogrid,4,5,10.0,0.33,5.8805223956739106,2.787349747148846,0.0,1.0,2.0,3.0,10.0,11.0,14.0,20.0
54,ogrid,4,5,10.0,0.66,6.007244158759311,2.842182397742149,0.0,1.0,2.0,3.0,10.0,11.0,14.0,21.0
55,ogrid,4,5,10.0,0.95,6.123864911743699,2.889941674333092,0.0,1.0,2.0,3.0,10.0,11.0,14.0,24.0
56,ogrid,4,5,12.5,0.05,3.8822569125599427,2.233765347913072,0.0,0.0,1.0,1.0,7.0,8.0,10.0,20.0
57,ogrid,4,5,12.5,0.33,4.006427915518825,2.3259666614648906,0.0,0.0,1.0,1.0,7.0,8.0,11.0,19.0
