,light_height,light_width,mirror_offset,metric
0,5.284570829873164,9.080315254190548,8.012413539834428,-93.67590902304406
1,6.713355447466984,7.3046857876087525,4.967103517338596,-89.66296862455276
2,3.1595823345878484,13.155927065712918,8.814729797306653,-49.39804526342782
3,10.588222686308235,5.624307613134746,1.0356399620078256,-79.15040381937533
4,12.58185618287634,12.167944826463543,3.0606299995411064,-43.182633267709384
5,4.657159416085642,7.332485703351001,0.7490089444970364,-96.09212199050522
6,12.53778076171875,11.8231201171875,3.1375549316406253,-43.94893575821211
7,14.999999999976126,14.999999999998863,0.10000000000225101,-35.633293036216536
8,14.422818064689636,14.30113971233368,5.0500005900859835,-37.1012064357366
9,8.000000208616257,14.999999850988388,0.10000029504299164,-42.65980081564662
10,14.999999998370185,13.782005601096898,0.10000000230502337,-37.369827920809634
11,14.999999999998408,13.015196772761328,0.10000000000225101,-38.75165165425093
12,14.999998331069946,14.999998807907104,9.999998819828033,-35.59365396885521
13,14.99997329711914,14.999961853027344,9.99996223449707,-35.697890152440266
14,14.78125,14.84375,9.8453125,-36.11536068414225
15,12.55615235456662,14.999999999995453,0.100000000004502,-37.841242160531564
16,13.250000000001592,14.999999999998863,5.049999999997749,-37.3334908194
17,14.999999999998408,14.999999999998863,3.812500000002251,-35.58077386553645
18,14.999999999998408,14.999999999998863,3.812500000002251,-35.609184729120905
19,14.90087890625,14.9951171875,6.282666015625,-35.69917603600115
20,1.4921875,7.4609375,4.97265625,-97.31887759413257
21,14.986328125,14.98046875,9.9806640625,-35.68361192581696
22,14.5625,14.375,9.38125,-36.88820829077028
23,14.999999999998408,14.999999999998863,0.100000000006753,-35.66682707514206
24,10.187493324279785,13.633584976196289,9.999990558624267,-42.83324527989043
25,14.999999999996817,14.999999999995453,0.100000000004502,-35.673619007355
26,14.999999999998408,13.750000000001137,0.100000000015757,-37.39194326121572
