,grid_type,light_height,light_width,box_offset,mean,std
84,circle,7.625,8.75,5.0,10.284970921334558,96.44942560498896
85,circle,7.625,12.5,0.1,8.765738189980615,96.89101911306773
86,circle,7.625,12.5,1.3250000000000002,8.7117641057035,96.90505423691096
87,circle,7.625,12.5,2.5500000000000003,8.7751249872462,96.90898568423827
88,circle,7.625,12.5,3.7750000000000004,8.780328537904296,96.90658239803156
89,circle,7.625,12.5,5.0,8.793388429752065,96.90868472381965
90,circle,7.625,16.25,0.1,7.305172941536578,97.23704177696865
91,circle,7.625,16.25,1.3250000000000002,7.2754820936639115,97.27590536186773
92,circle,7.625,16.25,2.5500000000000003,7.225079073563922,97.25053036690497
93,circle,7.625,16.25,3.7750000000000004,7.261912049790838,97.25935430240804
94,circle,7.625,16.25,5.0,7.273135394347515,97.1958857942547
95,circle,7.625,20.0,0.1,5.975818794000612,97.51841248190681
96,circle,7.625,20.0,1.3250000000000002,5.936435057647179,97.55385735920994
97,circle,7.625,20.0,2.5500000000000003,5.937047240077543,97.53113132505145
98,circle,7.625,20.0,3.7750000000000004,5.978165493317008,97.4918289350263
99,circle,7.625,20.0,5.0,5.947760432608917,97.53077810560733
100,circle,10.0,5.0,0.1,7.750535659626569,97.03971360334371
101,circle,10.0,5.0,1.3250000000000002,7.7304356698296095,97.00672775873893
102,circle,10.0,5.0,2.5500000000000003,7.698704213855729,97.04560954315714
103,circle,10.0,5.0,3.7750000000000004,7.755535149474543,96.99742887754722
104,circle,10.0,5.0,5.0,7.763187429854097,97.03653925549965
105,circle,10.0,8.75,0.1,7.166309560248954,97.2189933290357
106,circle,10.0,8.75,1.3250000000000002,7.114988266503418,97.24774983816215
107,circle,10.0,8.75,2.5500000000000003,7.166819712274258,97.21471629765222
108,circle,10.0,8.75,3.7750000000000004,7.154678094072033,97.20646328760981
109,circle,10.0,8.75,5.0,7.1901846750331595,97.19803922914946
110,circle,10.0,12.5,0.1,6.3413937353331296,97.43097142448521
111,circle,10.0,12.5,1.3250000000000002,6.333435363738394,97.40739647760901
112,circle,10.0,12.5,2.5500000000000003,6.307927762473217,97.46244061484543
113,circle,10.0,12.5,3.7750000000000004,6.342720130598918,97.42803203946606
114,circle,10.0,12.5,5.0,6.366187123762882,97.41408707418177
115,circle,10.0,16.25,0.1,5.505560657075809,97.63420742948492
116,circle,10.0,16.25,1.3250000000000002,5.501989592898684,97.66070089681816
117,circle,10.0,16.25,2.5500000000000003,5.465564738292011,97.6143939934077
118,circle,10.0,16.25,3.7750000000000004,5.488827670645852,97.61447101058819
119,circle,10.0,16.25,5.0,5.512702785430058,97.6355291876299
120,circle,10.0,20.0,0.1,4.6917661463116005,97.79835455121038
121,circle,10.0,20.0,1.3250000000000002,4.670237730843791,97.83093400381753
122,circle,10.0,20.0,2.5500000000000003,4.702275278032854,97.7960521998803
123,circle,10.0,20.0,3.7750000000000004,4.651770227527804,97.84873402622439
124,circle,10.0,20.0,5.0,4.695133149678604,97.82903330206226
125,ogrid,0.5,5.0,0.1,44.04234261810019,41.27884706998847
126,ogrid,0.5,5.0,1.3250000000000002,44.08784817875727,41.340614440615916
127,ogrid,0.5,5.0,2.5500000000000003,44.07070707070707,41.24699913448685
128,ogrid,0.5,5.0,3.7750000000000004,44.09754106723803,41.31010043576418
129,ogrid,0.5,5.0,5.0,44.088358330782576,41.31961345827891
130,ogrid,0.5,8.75,0.1,39.39138863381287,48.92629364747762
131,ogrid,0.5,8.75,1.3250000000000002,39.39404142434446,48.98189260550695
132,ogrid,0.5,8.75,2.5500000000000003,39.35700438730742,49.14582703821985
133,ogrid,0.5,8.75,3.7750000000000004,39.38414447505357,49.07966424488069
134,ogrid,0.5,8.75,5.0,39.36506478930721,49.03616479758104
135,ogrid,0.5,12.5,0.1,16.607591062136517,65.46690989300228
136,ogrid,0.5,12.5,1.3250000000000002,16.61636567697174,65.6267486314357
137,ogrid,0.5,12.5,2.5500000000000003,16.632078359351087,65.47688820674793
138,ogrid,0.5,12.5,3.7750000000000004,16.631772268135904,65.46318250491103
139,ogrid,0.5,12.5,5.0,16.617283950617285,65.66316249914499
140,ogrid,0.5,16.25,0.1,11.079583715947352,72.04932791755488
141,ogrid,0.5,16.25,1.3250000000000002,11.061524334251606,72.13800113781289
142,ogrid,0.5,16.25,2.5500000000000003,11.071523313947557,71.9758749875816
143,ogrid,0.5,16.25,3.7750000000000004,11.055300479542904,71.96499261036638
144,ogrid,0.5,16.25,5.0,11.075400469339863,71.98773120131126
145,ogrid,0.5,20.0,0.1,9.422405876951332,72.35995719807626
146,ogrid,0.5,20.0,1.3250000000000002,9.416079991837568,72.42236061885139
147,ogrid,0.5,20.0,2.5500000000000003,9.455565758596062,72.17237732201029
148,ogrid,0.5,20.0,3.7750000000000004,9.42087542087542,72.31398280178132
149,ogrid,0.5,20.0,5.0,9.442505866748292,72.34506897708388
150,ogrid,2.875,5.0,0.1,27.961636567697173,85.38022084323649
151,ogrid,2.875,5.0,1.3250000000000002,27.947046219773494,85.38149126721682
152,ogrid,2.875,5.0,2.5500000000000003,27.973063973063972,85.3783739390118
153,ogrid,2.875,5.0,3.7750000000000004,27.91337618610346,85.4264950032178
154,ogrid,2.875,5.0,5.0,27.995102540557085,85.3334315439957
155,ogrid,2.875,8.75,0.1,21.702173247627794,94.12133670417487
156,ogrid,2.875,8.75,1.3250000000000002,21.696765636159576,94.08335294932341
157,ogrid,2.875,8.75,2.5500000000000003,21.71757983879196,94.08128849302112
158,ogrid,2.875,8.75,3.7750000000000004,21.705132129374554,94.13852533905614
159,ogrid,2.875,8.75,5.0,21.65534129170493,94.15356761400129
160,ogrid,2.875,12.5,0.1,14.09233751657994,96.14539003098726
161,ogrid,2.875,12.5,1.3250000000000002,14.092949699010305,96.02817900882475
162,ogrid,2.875,12.5,2.5500000000000003,14.107540046933986,96.07172440800369
163,ogrid,2.875,12.5,3.7750000000000004,14.102846648301194,96.08286096436198
164,ogrid,2.875,12.5,5.0,14.066727884909703,96.09371123370951
165,ogrid,2.875,16.25,0.1,9.454341393735334,96.69408556132207
166,ogrid,2.875,16.25,1.3250000000000002,9.44954596469748,96.66169179811011
167,ogrid,2.875,16.25,2.5500000000000003,9.470768288950108,96.63322748934009
168,ogrid,2.875,16.25,3.7750000000000004,9.455667789001122,96.72037471477911
169,ogrid,2.875,16.25,5.0,9.49709213345577,96.68517278059304
170,ogrid,2.875,20.0,0.1,6.884195490256096,96.86700009782217
171,ogrid,2.875,20.0,1.3250000000000002,6.855831037649219,96.90926769409968
172,ogrid,2.875,20.0,2.5500000000000003,6.823895520865218,96.92245505369254
173,ogrid,2.875,20.0,3.7750000000000004,6.8201203958779715,96.90760793055844
174,ogrid,2.875,20.0,5.0,6.856341189674523,96.9010843714031
175,ogrid,5.25,5.0,0.1,17.130292827262526,93.5230340233733
176,ogrid,5.25,5.0,1.3250000000000002,17.18049178655239,93.51812814130592
177,ogrid,5.25,5.0,2.5500000000000003,17.129884705642283,93.53565612474483
178,ogrid,5.25,5.0,3.7750000000000004,17.22191613100704,93.50335937614862
179,ogrid,5.25,5.0,5.0,17.189062340577493,93.57619698883096
180,ogrid,5.25,8.75,0.1,13.964493419038874,95.73130257008404
181,ogrid,5.25,8.75,1.3250000000000002,13.957861442709927,95.70295388394283
182,ogrid,5.25,8.75,2.5500000000000003,13.881032547699215,95.68556445864965
183,ogrid,5.25,8.75,3.7750000000000004,13.993776145291298,95.69532657699413
