,grid_type,light_height,light_width,box_offset,mean,std
0,circle,0.5,5.0,0.1,36.59442913988369,93.79088636629861
1,circle,0.5,5.0,1.3250000000000002,30.412508927660443,94.26715192715072
2,circle,0.5,5.0,2.5500000000000003,26.076726864605654,94.62502576133606
3,circle,0.5,5.0,3.7750000000000004,23.198653198653197,94.69965222034732
4,circle,0.5,5.0,5.0,21.2163044587287,94.77597637162123
5,circle,0.5,8.75,0.1,36.5964697479849,93.86881968215602
6,circle,0.5,8.75,1.3250000000000002,30.403632282420162,94.20568842774728
7,circle,0.5,8.75,2.5500000000000003,26.110192837465565,94.60313899220773
8,circle,0.5,8.75,3.7750000000000004,23.2305887154372,94.6975097003838
9,circle,0.5,8.75,5.0,21.234261810019387,94.86194931627696
10,circle,0.5,12.5,0.1,36.64401591674319,93.77611386266614
11,circle,0.5,12.5,1.3250000000000002,30.405366799306194,94.2985682841514
12,circle,0.5,12.5,2.5500000000000003,26.11386593204775,94.55594981263113
13,circle,0.5,12.5,3.7750000000000004,23.116824813794512,94.69889178086265
14,circle,0.5,12.5,5.0,21.198449137843077,94.85977652227369
15,circle,0.5,16.25,0.1,36.572900724415874,93.90963398879558
16,circle,0.5,16.25,1.3250000000000002,30.420263238445056,94.28454235888076
17,circle,0.5,16.25,2.5500000000000003,26.142026323844505,94.56756915338111
18,circle,0.5,16.25,3.7750000000000004,23.135088256300378,94.70729101440972
19,circle,0.5,16.25,5.0,21.202836445260687,94.75977780092035
20,circle,0.5,20.0,0.1,36.57555351494745,93.91793107955495
21,circle,0.5,20.0,1.3250000000000002,30.415671870217324,94.21439965165676
22,circle,0.5,20.0,2.5500000000000003,26.124681154984184,94.60538308998528
23,circle,0.5,20.0,3.7750000000000004,23.132945617794103,94.66869708970158
24,circle,0.5,20.0,5.0,21.153759820426487,94.77732565551892
25,circle,2.875,5.0,0.1,36.60187735945312,93.82420471113947
26,circle,2.875,5.0,1.3250000000000002,30.398632792572187,94.29757459385537
27,circle,2.875,5.0,2.5500000000000003,26.175186205489236,94.45271317564712
28,circle,2.875,5.0,3.7750000000000004,23.220793796551373,94.71893725328435
29,circle,2.875,5.0,5.0,21.090296908478727,94.83458907964483
30,circle,2.875,8.75,0.1,36.593204775022954,93.77829344720104
31,circle,2.875,8.75,1.3250000000000002,30.354555657585962,94.33776511468044
32,circle,2.875,8.75,2.5500000000000003,26.086317722681358,94.5545813805467
33,circle,2.875,8.75,3.7750000000000004,23.2277318640955,94.74138171506621
34,circle,2.875,8.75,5.0,21.162330374451585,94.83884114803077
35,circle,2.875,12.5,0.1,36.538006325885114,93.90913201143232
36,circle,2.875,12.5,1.3250000000000002,30.30292827262524,94.34239181722356
37,circle,2.875,12.5,2.5500000000000003,26.133557800224466,94.58585695726406
38,circle,2.875,12.5,3.7750000000000004,23.2048770533619,94.73419891731284
39,circle,2.875,12.5,5.0,21.16967656361596,94.83929490858291
40,circle,2.875,16.25,0.1,36.62891541679421,93.89667107606283
41,circle,2.875,16.25,1.3250000000000002,30.39628609325579,94.31709931915653
42,circle,2.875,16.25,2.5500000000000003,26.10937659422508,94.57154811972637
43,circle,2.875,16.25,3.7750000000000004,23.199775533108866,94.70899063749725
44,circle,2.875,16.25,5.0,21.154780124477096,94.82713674166062
45,circle,2.875,20.0,0.1,36.60575451484542,93.87113659970565
46,circle,2.875,20.0,1.3250000000000002,30.372002856851342,94.26241573170519
47,circle,2.875,20.0,2.5500000000000003,26.186715641261095,94.51975461141758
48,circle,2.875,20.0,3.7750000000000004,23.176410570349965,94.67070490611364
49,circle,2.875,20.0,5.0,21.2477298234874,94.82999444370171
50,circle,5.25,5.0,0.1,36.58647076828895,93.88725319474626
51,circle,5.25,5.0,1.3250000000000002,30.31833486378941,94.32164374625795
52,circle,5.25,5.0,2.5500000000000003,26.11100908070605,94.55504751044342
53,circle,5.25,5.0,3.7750000000000004,23.169472502805835,94.7568702312701
54,circle,5.25,5.0,5.0,21.184266911539638,94.80820644378555
55,circle,5.25,8.75,0.1,36.55494337312519,93.8465141983732
56,circle,5.25,8.75,1.3250000000000002,30.345372921130497,94.28168701238366
57,circle,5.25,8.75,2.5500000000000003,26.115600448933783,94.54184533277729
58,circle,5.25,8.75,3.7750000000000004,23.210590756045303,94.71589388458293
59,circle,5.25,8.75,5.0,21.159371492704825,94.72217571207584
60,circle,5.25,12.5,0.1,36.56963575145393,93.87786515939133
61,circle,5.25,12.5,1.3250000000000002,30.39312315069891,94.22812075742625
62,circle,5.25,12.5,2.5500000000000003,26.10794816855423,94.54072604096974
63,circle,5.25,12.5,3.7750000000000004,23.143046627895114,94.70183533819852
64,circle,5.25,12.5,5.0,21.124885215794308,94.82973169269324
65,circle,5.25,16.25,0.1,36.63615957555351,93.8673595279093
66,circle,5.25,16.25,1.3250000000000002,30.358636873788388,94.261004716018
67,circle,5.25,16.25,2.5500000000000003,26.097030915212734,94.52742669061134
68,circle,5.25,16.25,3.7750000000000004,23.242016120804,94.74248549156614
69,circle,5.25,16.25,5.0,21.208652178349148,94.81431114797259
70,circle,5.25,20.0,0.1,36.60136720742781,93.89157299383164
71,circle,5.25,20.0,1.3250000000000002,30.379859198041018,94.27312113475772
72,circle,5.25,20.0,2.5500000000000003,26.157739006223856,94.62692592101152
73,circle,5.25,20.0,3.7750000000000004,23.173655749413324,94.69990039698236
74,circle,5.25,20.0,5.0,21.203346597285993,94.85387754796304
75,circle,7.625,5.0,0.1,36.53637383940414,93.9026929198326
76,circle,7.625,5.0,1.3250000000000002,30.41822263034384,94.27224891600747
77,circle,7.625,5.0,2.5500000000000003,26.15110702989491,94.451159149785
78,circle,7.625,5.0,3.7750000000000004,23.228242016120802,94.74327651645392
79,circle,7.625,5.0,5.0,21.178247117641057,94.84666696478406
80,circle,7.625,8.75,0.1,36.61687582899704,93.82523039380321
81,circle,7.625,8.75,1.3250000000000002,30.323946536067748,94.30971029080304
82,circle,7.625,8.75,2.5500000000000003,26.121518212427304,94.5408897532515
83,circle,7.625,8.75,3.7750000000000004,23.188552188552187,94.7196004235159
84,circle,7.625,8.75,5.0,21.209264360779514,94.80867237190776
85,circle,7.625,12.5,0.1,36.64850525456586,93.85035024715695
86,circle,7.625,12.5,1.3250000000000002,30.42250790735639,94.31267925477925
87,circle,7.625,12.5,2.5500000000000003,26.08182838485869,94.55617988966678
88,circle,7.625,12.5,3.7750000000000004,23.124681154984184,94.72892127218131
89,circle,7.625,12.5,5.0,21.277420671360066,94.80167147571055
90,circle,7.625,16.25,0.1,36.63962860932558,93.9103962380993
91,circle,7.625,16.25,1.3250000000000002,30.392510968268542,94.30164238640589
92,circle,7.625,16.25,2.5500000000000003,26.13957759412305,94.5233420731365
93,circle,7.625,16.25,3.7750000000000004,23.151515151515152,94.67819580999532
94,circle,7.625,16.25,5.0,21.225283134374042,94.79914130021677
95,circle,7.625,20.0,0.1,36.655851443730235,93.86106021636094
96,circle,7.625,20.0,1.3250000000000002,30.332313029282727,94.220786216599
97,circle,7.625,20.0,2.5500000000000003,26.152943577186,94.54104426727532
98,circle,7.625,20.0,3.7750000000000004,23.17743087440057,94.65817511293083
99,circle,7.625,20.0,5.0,21.13845525966738,94.81180501242265
100,circle,10.0,5.0,0.1,36.61575349454137,93.93346310679739
101,circle,10.0,5.0,1.3250000000000002,30.388531782471176,94.21119165033008
102,circle,10.0,5.0,2.5500000000000003,26.12845627997143,94.58416962926434
103,circle,10.0,5.0,3.7750000000000004,23.231404958677686,94.67295314681053
104,circle,10.0,5.0,5.0,21.195694316906437,94.80498993174784
105,circle,10.0,8.75,0.1,36.61003979185797,93.89690339307178
106,circle,10.0,8.75,1.3250000000000002,30.37608407305377,94.3001497888076
107,circle,10.0,8.75,2.5500000000000003,26.1415161718192,94.54496151620575
