,grid_type,light_height,light_width,box_offset,mean,std
103,circle,10.0,5.0,3.7750000000000004,31.201612080399958,94.38387822002782
104,circle,10.0,5.0,5.0,31.237016630956024,94.38732385638166
105,circle,10.0,8.75,0.1,31.00142842567085,94.48842033003925
106,circle,10.0,8.75,1.3250000000000002,30.67717579838792,94.43939087307217
107,circle,10.0,8.75,2.5500000000000003,25.408835833078257,94.98720344978605
108,circle,10.0,8.75,3.7750000000000004,21.60504030201,95.33320093972968
109,circle,10.0,8.75,5.0,18.700744821956942,95.67234149260871
110,circle,10.0,12.5,0.1,21.20620344862769,95.37940598238305
111,circle,10.0,12.5,1.3250000000000002,18.145291296806448,95.77619399003576
112,circle,10.0,12.5,2.5500000000000003,15.865523926129987,95.98545191581461
113,circle,10.0,12.5,3.7750000000000004,14.072849709213346,96.27937159367569
114,circle,10.0,12.5,5.0,12.691255994286298,96.40750733693142
115,circle,10.0,16.25,0.1,13.540455055606571,96.31211845142224
116,circle,10.0,16.25,1.3250000000000002,12.089480665238241,96.49248295884989
117,circle,10.0,16.25,2.5500000000000003,10.98408325681053,96.70766695321754
118,circle,10.0,16.25,3.7750000000000004,10.001122334455667,96.8439073056662
119,circle,10.0,16.25,5.0,9.26221814100602,96.91430922809761
120,circle,10.0,20.0,0.1,9.465666768697071,96.91952813777559
121,circle,10.0,20.0,1.3250000000000002,8.638506274869911,97.06145265876621
122,circle,10.0,20.0,2.5500000000000003,7.989286807468626,97.17811193501959
123,circle,10.0,20.0,3.7750000000000004,7.508111417202326,97.23753337963645
124,circle,10.0,20.0,5.0,7.0827466585042345,97.34122892826939
125,ogrid,0.5,5.0,0.1,46.239669421487605,49.452702501392764
126,ogrid,0.5,5.0,1.3250000000000002,46.24313845525967,49.581371313099
127,ogrid,0.5,5.0,2.5500000000000003,46.25497398224671,49.62004399215751
128,ogrid,0.5,5.0,3.7750000000000004,46.22324252627283,49.55913619606758
129,ogrid,0.5,5.0,5.0,46.274461789613305,49.53245665670226
130,ogrid,0.5,8.75,0.1,45.706866646260586,80.5696763122215
131,ogrid,0.5,8.75,1.3250000000000002,45.317416590143864,80.54017001981585
132,ogrid,0.5,8.75,2.5500000000000003,42.58177736965616,80.36230440191511
133,ogrid,0.5,8.75,3.7750000000000004,41.960310172431385,80.30901007460199
134,ogrid,0.5,8.75,5.0,41.5707580859096,80.18258740960044
135,ogrid,0.5,12.5,0.1,24.385266809509233,82.52639335618807
136,ogrid,0.5,12.5,1.3250000000000002,23.609631670237732,82.62627304801131
137,ogrid,0.5,12.5,2.5500000000000003,23.285787164575044,82.70382443929188
138,ogrid,0.5,12.5,3.7750000000000004,23.059585756555453,82.66761674710017
139,ogrid,0.5,12.5,5.0,23.026833996530968,82.54736629361204
140,ogrid,0.5,16.25,0.1,12.8356290174472,86.28067808782313
141,ogrid,0.5,16.25,1.3250000000000002,12.624119987756352,86.28610422021073
142,ogrid,0.5,16.25,2.5500000000000003,12.486685032139578,86.34071319771728
143,ogrid,0.5,16.25,3.7750000000000004,12.491786552392613,86.30774794148972
144,ogrid,0.5,16.25,5.0,12.416896235078053,86.26729668673642
145,ogrid,0.5,20.0,0.1,9.25925925925926,86.50601746106935
146,ogrid,0.5,20.0,1.3250000000000002,9.223956739108255,86.43802777621634
147,ogrid,0.5,20.0,2.5500000000000003,9.169064381185594,86.53379315867929
148,ogrid,0.5,20.0,3.7750000000000004,9.113661871237628,86.63228575363094
149,ogrid,0.5,20.0,5.0,9.101622283440465,86.58822894175977
150,ogrid,2.875,5.0,0.1,41.54769921436588,85.64609874499716
151,ogrid,2.875,5.0,1.3250000000000002,41.61044791347822,85.73528254473547
152,ogrid,2.875,5.0,2.5500000000000003,41.60830527497194,85.65387248235123
153,ogrid,2.875,5.0,3.7750000000000004,41.60463218038976,85.69912791742716
154,ogrid,2.875,5.0,5.0,41.55106621773288,85.67620959843325
155,ogrid,2.875,8.75,0.1,40.62667074788287,93.56917791149078
156,ogrid,2.875,8.75,1.3250000000000002,40.1329456177941,93.61717042349434
157,ogrid,2.875,8.75,2.5500000000000003,33.70196918681767,93.48500938265629
158,ogrid,2.875,8.75,3.7750000000000004,30.023977145189267,93.3306451289829
159,ogrid,2.875,8.75,5.0,27.841852872155904,93.09419660032049
160,ogrid,2.875,12.5,0.1,25.192735435159676,94.85620579822405
161,ogrid,2.875,12.5,1.3250000000000002,22.04764819916335,95.30831460182804
162,ogrid,2.875,12.5,2.5500000000000003,20.227935924905623,95.44095420110246
163,ogrid,2.875,12.5,3.7750000000000004,19.061524334251608,95.50422319693267
164,ogrid,2.875,12.5,5.0,18.31955922865014,95.63927401938166
165,ogrid,2.875,16.25,0.1,14.561983471074381,96.16232602202844
166,ogrid,2.875,16.25,1.3250000000000002,13.548719518416489,96.35924806831135
167,ogrid,2.875,16.25,2.5500000000000003,12.891541679420467,96.41199795454087
168,ogrid,2.875,16.25,3.7750000000000004,12.457402305887154,96.44748084394782
169,ogrid,2.875,16.25,5.0,12.15855524946434,96.50739254711466
170,ogrid,2.875,20.0,0.1,9.455973880216304,96.98567761380016
171,ogrid,2.875,20.0,1.3250000000000002,9.051321293745536,97.01835042308883
172,ogrid,2.875,20.0,2.5500000000000003,8.802163044587287,97.05702612838566
173,ogrid,2.875,20.0,3.7750000000000004,8.561473319049076,97.10114714846742
174,ogrid,2.875,20.0,5.0,8.436077951229466,97.14596495236985
175,ogrid,5.25,5.0,0.1,37.49321497806346,92.85740870362139
176,ogrid,5.25,5.0,1.3250000000000002,37.50994796449342,92.93394611933283
177,ogrid,5.25,5.0,2.5500000000000003,37.51249872461994,92.97599319073582
178,ogrid,5.25,5.0,3.7750000000000004,37.40812162024283,92.97148581972033
179,ogrid,5.25,5.0,5.0,37.48852157943067,92.91815481393209
180,ogrid,5.25,8.75,0.1,36.843485358636876,93.81917296401977
181,ogrid,5.25,8.75,1.3250000000000002,36.41954902560963,93.93600419369092
182,ogrid,5.25,8.75,2.5500000000000003,30.15590245893276,94.44705496555835
183,ogrid,5.25,8.75,3.7750000000000004,25.83430262218141,94.64765681790996
184,ogrid,5.25,8.75,5.0,22.82858891949801,94.81051791089878
185,ogrid,5.25,12.5,0.1,24.010713192531373,95.01022497276229
186,ogrid,5.25,12.5,1.3250000000000002,20.571370268339965,95.43165889130542
187,ogrid,5.25,12.5,2.5500000000000003,18.16243240485665,95.71651177645656
188,ogrid,5.25,12.5,3.7750000000000004,16.530047954290378,95.87211620342296
189,ogrid,5.25,12.5,5.0,15.339557188042036,96.00536077928906
190,ogrid,5.25,16.25,0.1,14.441587593102744,96.22404828748074
191,ogrid,5.25,16.25,1.3250000000000002,13.035200489745945,96.38820228564511
192,ogrid,5.25,16.25,2.5500000000000003,12.004081216202428,96.52449155690834
193,ogrid,5.25,16.25,3.7750000000000004,11.226303438424651,96.63104344402443
194,ogrid,5.25,16.25,5.0,10.73359861238649,96.71169957277039
195,ogrid,5.25,20.0,0.1,9.554127129884705,96.90428287802396
196,ogrid,5.25,20.0,1.3250000000000002,8.8704213855729,97.0044512300094
197,ogrid,5.25,20.0,2.5500000000000003,8.386899295990204,97.13492762441584
198,ogrid,5.25,20.0,3.7750000000000004,7.990919293949597,97.145071550975
199,ogrid,5.25,20.0,5.0,7.712070196918682,97.21106991539679
200,ogrid,7.625,5.0,0.1,34.029588817467605,94.09930304169853
201,ogrid,7.625,5.0,1.3250000000000002,34.08815426997245,94.10367575526105
202,ogrid,7.625,5.0,2.5500000000000003,34.054076114682175,94.01355696424781
203,ogrid,7.625,5.0,3.7750000000000004,34.07091113151719,94.11096629625538
204,ogrid,7.625,5.0,5.0,34.035506580961126,94.15833474733671
205,ogrid,7.625,8.75,0.1,33.66758494031221,94.15594808938528
206,ogrid,7.625,8.75,1.3250000000000002,33.22803795531068,94.19072181714427
207,ogrid,7.625,8.75,2.5500000000000003,27.54616875828997,94.7347923251124
208,ogrid,7.625,8.75,3.7750000000000004,23.339455157636976,95.12639469807313
209,ogrid,7.625,8.75,5.0,20.220181614121007,95.44520770490949
