,light_height,light_width,mirror_offset,inter_0,inter_1,inter_2,inter_3,metric
0,15.0,15.0,9.478947368421053,18.205591266197327,4.270789416541878,13.0,24.0,0.2345866912035719
1,15.0,15.0,7.915789473684211,19.982246709519437,4.473013218523054,14.0,26.0,0.22384936406535977
2,15.0,15.0,8.436842105263159,19.37179879604122,4.3945682260724235,14.0,25.0,0.22685390615199288
3,15.0,15.0,6.873684210526316,21.46831955922865,4.590132983515905,16.0,27.0,0.21380960772696952
4,15.0,15.0,7.394736842105264,20.756555453525152,4.524115357119572,15.0,27.0,0.21796079639751725
5,15.0,15.0,10.0,17.66717681869197,4.195195637919848,12.0,23.0,0.2374570470977178
6,15.0,15.0,5.310526315789474,24.2363024181206,4.94104332627127,18.0,31.0,0.20386951941056122
7,15.0,15.0,8.957894736842105,18.75492296704418,4.324286251300841,13.0,24.0,0.23056806252413836
8,15.0,15.0,4.7894736842105265,25.27782879298031,4.973949812446084,19.0,32.0,0.19677124381138927
9,15.0,15.0,5.831578947368421,23.245893276196306,4.807013263248429,17.0,30.0,0.20678978459265274
10,15.0,15.0,6.352631578947369,22.359249056218754,4.702365577406175,16.0,29.0,0.21030963810917033
11,15.0,15.0,4.268421052631579,26.293439444954597,5.1265195552502565,20.0,33.0,0.19497333416507348
12,15.0,14.473684210526315,10.0,18.192633404754616,4.325713298927501,13.0,24.0,0.23777279532258275
13,15.0,15.0,3.2263157894736847,28.866748290990714,5.3857045041122635,22.0,36.0,0.18657122201024412
14,15.0,15.0,3.747368421052632,27.540965207631874,5.240972166788263,21.0,34.0,0.19029733080436623
15,15.0,14.473684210526315,9.478947368421053,18.87338026731966,4.332660644636251,13.0,25.0,0.2295646345948161
16,15.0,15.0,2.7052631578947373,30.191102948678708,5.539527514406028,23.0,37.0,0.18348211802074826
17,15.0,15.0,1.6631578947368424,33.43454749515356,5.780287141539173,26.0,41.0,0.1728836659858203
18,15.0,15.0,2.18421052631579,31.730333639424547,5.674523009690892,25.0,39.0,0.17883590743717764
19,15.0,15.0,0.6210526315789474,37.25293337414549,6.048860488506635,30.0,45.0,0.16237272989365992
20,15.0,15.0,1.142105263157895,35.23211917151311,5.947504673741748,28.0,43.0,0.16880916656726672
21,15.0,15.0,0.1,39.368533823079275,6.304315912587606,31.0,48.0,0.16013590805588462
22,15.0,14.473684210526315,8.436842105263159,20.115906540148963,4.452590447679294,15.0,26.0,0.22134674561111387
23,15.0,14.473684210526315,7.915789473684211,20.78951127435976,4.5479315558269455,15.0,27.0,0.21876086916175017
24,15.0,14.473684210526315,8.957894736842105,19.45107642077339,4.420260086129985,14.0,25.0,0.22725015266554754
25,15.0,14.473684210526315,6.873684210526316,22.385674931129476,4.753983811652496,16.0,29.0,0.21236723155671378
26,15.0,14.473684210526315,7.394736842105264,21.59218447097235,4.621860211004655,16.0,28.0,0.21405246038065742
27,15.0,14.473684210526315,4.7894736842105265,26.341903887358434,5.183140005798453,20.0,33.0,0.19676406185225886
28,15.0,14.473684210526315,5.831578947368421,24.21038669523518,4.934053242859218,18.0,31.0,0.20379902663142027
29,15.0,14.473684210526315,6.352631578947369,23.198347107438018,4.82437622717619,17.0,30.0,0.20796206750563553
30,15.0,14.473684210526315,5.310526315789474,25.24681154984185,5.060393983952477,19.0,32.0,0.20043695315593926
31,15.0,14.473684210526315,3.747368421052632,28.96347311498827,5.395007303350039,22.0,36.0,0.1862693497403177
