,light_height,light_width,grid_type,inter_0,inter_1,inter_2,inter_3,metric
0,15.0,15.0,spiral,8.610141822263035,2.930256753712199,5.0,12.0,0.34032618906874507
1,15.0,15.0,grid,8.517906336088155,2.9430729074834416,5.0,12.0,0.3455159978707921
2,15.0,15.0,ogrid,8.50005101520253,2.939554474676406,5.0,12.0,0.34582786261152404
3,15.0,14.473684210526315,spiral,8.651260075502499,2.960957506272315,5.0,13.0,0.34225736834068426
4,15.0,15.0,circle,8.573818998061423,2.91838515913121,5.0,12.0,0.3403833414014303
5,15.0,14.473684210526315,grid,8.692378328741965,2.9879108982156155,5.0,13.0,0.3437391684087054
6,15.0,14.473684210526315,ogrid,8.727986940108153,2.994618394874062,5.0,13.0,0.3431052790778986
7,15.0,13.947368421052632,grid,8.845015814712784,3.0090429131864305,5.0,13.0,0.3401964424055855
8,15.0,13.947368421052632,circle,8.817671666156514,3.013440952057254,5.0,13.0,0.34175018827512843
9,15.0,14.473684210526315,circle,8.67146209570452,2.9707293599596665,5.0,13.0,0.3425869048578603
10,15.0,13.947368421052632,ogrid,8.80257116620753,2.9782220658411407,5.0,13.0,0.338335471489777
11,15.0,13.421052631578947,grid,9.024691358024691,3.0525450515665593,5.0,13.0,0.3382437061243383
12,15.0,13.947368421052632,spiral,8.808692990511172,2.984951874966937,5.0,13.0,0.3388643330153931
13,15.0,13.421052631578947,spiral,8.990919293949597,3.0221133747407474,5.0,13.0,0.33612951867719093
14,15.0,13.421052631578947,circle,9.045811651872258,3.050010505238303,5.0,13.0,0.3371737797135127
15,15.0,12.894736842105264,spiral,9.136414651566167,3.045058580400584,5.0,13.0,0.33328813287590875
16,15.0,12.894736842105264,ogrid,9.089072543617998,3.010799859038585,5.0,13.0,0.3312549046770074
17,15.0,13.421052631578947,ogrid,8.96694214876033,2.9866090494990076,5.0,13.0,0.3330688433081843
18,15.0,12.368421052631579,spiral,9.299459238853178,3.0844668973105587,5.0,13.0,0.3316823933615025
19,15.0,12.894736842105264,circle,9.170594837261504,3.030517928947384,5.0,13.0,0.33046034447339606
20,15.0,12.894736842105264,grid,9.121008060402,3.07635850957874,5.0,13.0,0.33728273116372537
