,light_height,light_width,mirror_offset,inter_0,inter_1,inter_2,inter_3,metric
0,15.0,15.0,6.352631578947369,42.15335169880625,6.5057289344189035,34.0,51.0,0.15433479598262032
1,15.0,15.0,8.957894736842105,42.21273339455158,6.495015872796209,34.0,51.0,0.1538639019674221
2,15.0,15.0,6.873684210526316,42.10835629017447,6.4121362142027465,34.0,51.0,0.1522770485272765
3,15.0,15.0,7.915789473684211,42.103458830731554,6.491226077777677,34.0,51.0,0.1541732260970373
4,15.0,15.0,4.7894736842105265,42.181001938577694,6.513192897678643,34.0,51.0,0.15441057818310946
5,15.0,15.0,10.0,42.111315171921234,6.457915965639906,34.0,50.0,0.1533534618730189
6,15.0,15.0,5.831578947368421,42.141516171819205,6.56853640858694,34.0,51.0,0.1558685354794956
7,15.0,15.0,9.478947368421053,42.18018569533721,6.484610839772501,34.0,51.0,0.1537359481205257
8,15.0,15.0,8.436842105263159,42.17906336088154,6.518453033987096,34.0,51.0,0.15454238464746364
9,15.0,15.0,5.310526315789474,42.11090705030099,6.60110434064655,34.0,51.0,0.15675521623795963
10,15.0,15.0,2.18421052631579,42.13845525966738,6.4693568398959975,34.0,51.0,0.15352619833902909
11,15.0,15.0,7.394736842105264,42.092541577390065,6.563582149289915,34.0,50.0,0.15593218901316075
12,15.0,15.0,1.142105263157895,42.192939495969796,6.489096373064323,34.0,51.0,0.15379578788731113
13,15.0,15.0,3.2263157894736847,42.17120701969187,6.5588987336908975,34.0,51.0,0.15553025861053055
14,15.0,15.0,2.7052631578947373,42.192633404754616,6.5214698681416765,34.0,51.0,0.15456418198838434
15,15.0,15.0,3.747368421052632,42.21018263442506,6.539552019485589,34.0,51.0,0.15492830429385948
16,15.0,15.0,1.6631578947368424,42.16753392510968,6.453153525124886,34.0,50.0,0.1530360664815212
17,15.0,15.0,0.6210526315789474,42.172023262932356,6.520700548027554,34.0,51.0,0.15462147754620556
18,15.0,15.0,4.268421052631579,42.17896133047648,6.600746185216274,34.0,51.0,0.1564938058454961
19,15.0,14.473684210526315,10.0,42.94684215896337,6.546212893817347,35.0,51.0,0.15242594250788463
20,15.0,15.0,0.1,42.14906642179369,6.46923143877255,34.0,50.0,0.15348457244660477
21,15.0,14.473684210526315,9.478947368421053,42.91194776043261,6.596593863399371,35.0,51.0,0.15372394420841987
22,15.0,14.473684210526315,8.436842105263159,42.91990613202734,6.598721143825533,35.0,51.0,0.15374500409033953
23,15.0,14.473684210526315,7.915789473684211,42.89919395980002,6.683132433201552,34.0,52.0,0.1557868998532742
24,15.0,14.473684210526315,6.873684210526316,43.00255076012652,6.564140743675832,35.0,52.0,0.1526453809749894
